id,age,gender,percentage
499844334269818,25-34,male,0.148575
499844334269818,35-44,male,0.083446
499844334269818,55-64,female,0.085482
499844334269818,18-24,male,0.11635
499844334269818,18-24,female,0.053935
499844334269818,65+,female,0.057666
499844334269818,35-44,female,0.086839
499844334269818,65+,male,0.032564
499844334269818,25-34,female,0.096676
499844334269818,45-54,female,0.094301
499844334269818,45-54,male,0.080393
499844334269818,55-64,male,0.057666
499844334269818,35-44,unknown,0.003053
499844334269818,55-64,unknown,0.001357
499844334269818,25-34,unknown,0.000339
499844334269818,45-54,unknown,0.001357
453850975333442,45-54,male,0.144264
453850975333442,25-34,female,0.045811
453850975333442,65+,unknown,0.001055
453850975333442,35-44,unknown,0.002411
453850975333442,45-54,unknown,0.001457
453850975333442,25-34,unknown,0.000854
453850975333442,18-24,female,0.021097
453850975333442,55-64,unknown,0.001105
453850975333442,65+,female,0.036166
453850975333442,18-24,male,0.083333
453850975333442,55-64,female,0.052793
453850975333442,65+,male,0.061433
453850975333442,45-54,female,0.044655
453850975333442,55-64,male,0.116988
453850975333442,35-44,female,0.048573
453850975333442,35-44,male,0.150643
453850975333442,25-34,male,0.18706
453850975333442,18-24,unknown,0.000301
442557686431595,55-64,female,0.210711
442557686431595,65+,female,0.17405
442557686431595,35-44,female,0.160931
442557686431595,45-54,female,0.191661
442557686431595,18-24,female,0.099739
442557686431595,25-34,female,0.162908
556541275194846,18-24,male,0.090388
556541275194846,35-44,male,0.111578
556541275194846,25-34,unknown,0.002673
556541275194846,45-54,unknown,0.002959
556541275194846,65+,unknown,0.001432
556541275194846,35-44,unknown,0.004104
556541275194846,18-24,unknown,0.001145
556541275194846,65+,female,0.036079
556541275194846,35-44,female,0.087334
556541275194846,55-64,female,0.040374
556541275194846,45-54,female,0.050587
556541275194846,55-64,male,0.059082
556541275194846,45-54,male,0.074353
556541275194846,65+,male,0.043238
556541275194846,18-24,female,0.069104
556541275194846,25-34,female,0.144889
556541275194846,25-34,male,0.179441
556541275194846,55-64,unknown,0.001241
1336872156492716,45-54,male,0.144023
1336872156492716,18-24,female,0.017578
1336872156492716,55-64,unknown,0.001942
1336872156492716,25-34,unknown,0.001068
1336872156492716,65+,unknown,0.002622
1336872156492716,35-44,female,0.041177
1336872156492716,35-44,unknown,0.002039
1336872156492716,25-34,female,0.03234
1336872156492716,45-54,female,0.053219
1336872156492716,65+,male,0.094882
1336872156492716,45-54,unknown,0.002428
1336872156492716,25-34,male,0.132272
1336872156492716,55-64,male,0.145188
1336872156492716,55-64,female,0.073808
1336872156492716,35-44,male,0.117898
1336872156492716,65+,female,0.075944
1336872156492716,18-24,male,0.060989
1336872156492716,18-24,unknown,0.000583
446808479343424,55-64,female,0.0925
446808479343424,65+,female,0.04625
446808479343424,55-64,unknown,0.001667
446808479343424,35-44,unknown,0.0025
446808479343424,18-24,unknown,0.000417
446808479343424,45-54,unknown,0.001667
446808479343424,55-64,male,0.044583
446808479343424,65+,male,0.023333
446808479343424,18-24,male,0.123333
446808479343424,25-34,male,0.137083
446808479343424,45-54,male,0.0725
446808479343424,18-24,female,0.054583
446808479343424,35-44,female,0.114583
446808479343424,35-44,male,0.084167
446808479343424,25-34,female,0.100417
446808479343424,45-54,female,0.1
446808479343424,65+,unknown,0.000417
1365428573636798,35-44,unknown,0.001256
1365428573636798,25-34,male,0.13861
1365428573636798,35-44,female,0.073283
1365428573636798,65+,female,0.061139
1365428573636798,18-24,female,0.045645
1365428573636798,25-34,female,0.079146
1365428573636798,65+,male,0.044807
1365428573636798,55-64,male,0.076214
1365428573636798,45-54,male,0.107203
1365428573636798,65+,unknown,0.001256
1365428573636798,18-24,male,0.112647
1365428573636798,35-44,male,0.09129
1365428573636798,55-64,female,0.083752
1365428573636798,45-54,female,0.080821
1365428573636798,18-24,unknown,0.000838
1365428573636798,55-64,unknown,0.000838
1365428573636798,25-34,unknown,0.000419
1365428573636798,45-54,unknown,0.000838
587700248766999,18-24,female,0.138498
587700248766999,25-34,male,0.131455
587700248766999,65+,unknown,0.000335
587700248766999,45-54,unknown,0.001006
587700248766999,25-34,unknown,0.001341
587700248766999,35-44,unknown,0.002347
587700248766999,65+,male,0.023474
587700248766999,45-54,male,0.073776
587700248766999,35-44,male,0.088867
587700248766999,55-64,female,0.05332
587700248766999,35-44,female,0.083166
587700248766999,25-34,female,0.143863
587700248766999,18-24,male,0.103957
587700248766999,65+,female,0.030181
587700248766999,45-54,female,0.0778
587700248766999,55-64,male,0.045942
587700248766999,55-64,unknown,0.000671
441498383189519,18-24,unknown,0.000392
441498383189519,65+,male,0.036107
441498383189519,35-44,female,0.072606
441498383189519,55-64,male,0.062402
441498383189519,55-64,female,0.086342
441498383189519,65+,female,0.049058
441498383189519,25-34,female,0.091052
441498383189519,18-24,female,0.047096
441498383189519,45-54,female,0.082025
441498383189519,55-64,unknown,0.001177
441498383189519,18-24,male,0.111068
441498383189519,25-34,male,0.171115
441498383189519,35-44,male,0.089874
441498383189519,45-54,male,0.094976
441498383189519,25-34,unknown,0.000392
441498383189519,65+,unknown,0.000785
441498383189519,35-44,unknown,0.001962
441498383189519,45-54,unknown,0.00157
1177682192435717,55-64,male,0.055807
1177682192435717,25-34,male,0.157868
1177682192435717,45-54,unknown,0.001006
1177682192435717,35-44,unknown,0.001006
1177682192435717,55-64,unknown,0.001006
1177682192435717,65+,male,0.03268
1177682192435717,18-24,unknown,0.000503
1177682192435717,55-64,female,0.073404
1177682192435717,45-54,female,0.087984
1177682192435717,18-24,male,0.122172
1177682192435717,35-44,female,0.083459
1177682192435717,35-44,male,0.086476
1177682192435717,18-24,female,0.070387
1177682192435717,25-34,female,0.09452
1177682192435717,45-54,male,0.07994
1177682192435717,65+,female,0.051282
1177682192435717,25-34,unknown,0.000503
1731757653625114,18-24,female,0.200109
1731757653625114,35-44,female,0.072438
1731757653625114,35-44,unknown,0.00163
1731757653625114,45-54,unknown,0.000905
1731757653625114,25-34,unknown,0.000543
1731757653625114,65+,female,0.00833
1731757653625114,65+,male,0.00489
1731757653625114,18-24,unknown,0.001992
1731757653625114,45-54,male,0.037668
1731757653625114,18-24,male,0.185802
1731757653625114,35-44,male,0.075697
